ID,name,GDP (2021 USD billion PPP)
01AUS,Australia,1640.0
02BD,Brunei Darussalam,35.2
03CDA,Canada,2306.0
04CHL,Chile,596.0
05PRC,China,32005.0
06HKC,"Hong Kong, China",486.0
07INA,Indonesia,3905.7
08JPN,Japan,5716.0
09ROK,Korea,2850.0
10MAS,Malaysia,1152.6
11MEX,Mexico,2838.0
12NZ,New Zealand,257.0
13PNG,Papua New Guinea,44.0
14PE,Peru,536.0
15PHL,Philippines,1137.0
16RUS,Russia,5835.0
17SGP,Singapore,766.7
18CT,Chinese Taipei,1744.0
19THA,Thailand,1519.0
20USA,United States,31820.0
21VN,Viet Nam,1359.0
